Icing_Factor,Scenario,Mode,Generations,Capped_at_30,W_Econ,W_GHG,W_Social,Land_Sensitivity,Spill_Sensitivity,Diesel_Price,Capex_Factor,Demand_Factor,Optimal_Turbines,LCOE_Nominal,LCOE_Worst_Case,LCOE_Best_Case,Pct_Wind,Emissions_Intensity,Hybrid_Total_Emissions_tCO2,Baseline_Total_Emissions_tCO2,Payback_Year
0,Weight_Correlation,Greenfield,50,Yes,0.001,0.001,1,0.8,0.8,0.78,1,1,0,0.22,0.2299,0.211,0,805.36,9579.1,9579.1,No payback
0,Weight_Correlation,Brownfield,50,Yes,0.001,0.001,1,0.8,0.8,0.78,1,1,0,0.2044,0.2144,0.1955,0,805.36,9579.1,9579.1,0
0,Weight_Correlation,Greenfield,50,No,0.001,0.001,1,0.8,0.8,0.78,1,1,0,0.22,0.2299,0.211,0,805.36,9579.1,9579.1,No payback
0,Weight_Correlation,Brownfield,50,No,0.001,0.001,1,0.8,0.8,0.78,1,1,0,0.2044,0.2144,0.1955,0,805.36,9579.1,9579.1,0
0,Weight_Correlation,Greenfield,50,Yes,0.001,0.1,0.9,0.8,0.8,0.78,1,1,0,0.22,0.2299,0.211,0,805.36,9579.1,9579.1,No payback
0,Weight_Correlation,Brownfield,50,Yes,0.001,0.1,0.9,0.8,0.8,0.78,1,1,0,0.2044,0.2144,0.1955,0,805.36,9579.1,9579.1,0
0,Weight_Correlation,Greenfield,50,No,0.001,0.1,0.9,0.8,0.8,0.78,1,1,0,0.22,0.2299,0.211,0,805.36,9579.1,9579.1,No payback
0,Weight_Correlation,Brownfield,50,No,0.001,0.1,0.9,0.8,0.8,0.78,1,1,0,0.2044,0.2144,0.1955,0,805.36,9579.1,9579.1,0
0,Weight_Correlation,Greenfield,50,Yes,0.001,0.2,0.8,0.8,0.8,0.78,1,1,1,0.2069,0.2169,0.1978,17.26,669.08,7925.63,9579.1,No payback
0,Weight_Correlation,Brownfield,50,Yes,0.001,0.2,0.8,0.8,0.8,0.78,1,1,1,0.1913,0.2014,0.1822,17.26,669.08,7925.63,9579.1,10.01
0,Weight_Correlation,Greenfield,50,No,0.001,0.2,0.8,0.8,0.8,0.78,1,1,1,0.2069,0.2169,0.1978,17.26,669.08,7925.63,9579.1,No payback
0,Weight_Correlation,Brownfield,50,No,0.001,0.2,0.8,0.8,0.8,0.78,1,1,1,0.1913,0.2014,0.1822,17.26,669.08,7925.63,9579.1,10.01
0,Weight_Correlation,Greenfield,50,Yes,0.001,0.3,0.7,0.8,0.8,0.78,1,1,2,0.1937,0.2039,0.1845,34.52,532.81,6272.16,9579.1,15.28
0,Weight_Correlation,Brownfield,50,Yes,0.001,0.3,0.7,0.8,0.8,0.78,1,1,2,0.1782,0.1883,0.169,34.52,532.81,6272.16,9579.1,9.59
0,Weight_Correlation,Greenfield,50,No,0.001,0.3,0.7,0.8,0.8,0.78,1,1,2,0.1937,0.2039,0.1845,34.52,532.81,6272.16,9579.1,15.28
0,Weight_Correlation,Brownfield,50,No,0.001,0.3,0.7,0.8,0.8,0.78,1,1,2,0.1782,0.1883,0.169,34.52,532.81,6272.16,9579.1,9.59
0,Weight_Correlation,Greenfield,50,Yes,0.001,0.4,0.6,0.8,0.8,0.78,1,1,2,0.1937,0.2039,0.1845,34.52,532.81,6272.16,9579.1,15.28
0,Weight_Correlation,Brownfield,50,Yes,0.001,0.4,0.6,0.8,0.8,0.78,1,1,2,0.1782,0.1883,0.169,34.52,532.81,6272.16,9579.1,9.59
0,Weight_Correlation,Greenfield,50,No,0.001,0.4,0.6,0.8,0.8,0.78,1,1,2,0.1937,0.2039,0.1845,34.52,532.81,6272.16,9579.1,15.28
0,Weight_Correlation,Brownfield,50,No,0.001,0.4,0.6,0.8,0.8,0.78,1,1,2,0.1782,0.1883,0.169,34.52,532.81,6272.16,9579.1,9.59
0,Weight_Correlation,Greenfield,50,Yes,0.001,0.5,0.5,0.8,0.8,0.78,1,1,3,0.1806,0.1909,0.1713,51.78,396.53,4618.69,9579.1,12.8
0,Weight_Correlation,Brownfield,50,Yes,0.001,0.5,0.5,0.8,0.8,0.78,1,1,3,0.165,0.1753,0.1557,51.78,396.53,4618.69,9579.1,9.46
0,Weight_Correlation,Greenfield,50,No,0.001,0.5,0.5,0.8,0.8,0.78,1,1,3,0.1806,0.1909,0.1713,51.78,396.53,4618.69,9579.1,12.8
0,Weight_Correlation,Brownfield,50,No,0.001,0.5,0.5,0.8,0.8,0.78,1,1,3,0.165,0.1753,0.1557,51.78,396.53,4618.69,9579.1,9.46
0,Weight_Correlation,Greenfield,50,Yes,0.001,0.6,0.4,0.8,0.8,0.78,1,1,4,0.1676,0.1778,0.1594,68.96,260.89,2972.92,9579.1,11.8
0,Weight_Correlation,Brownfield,50,Yes,0.001,0.6,0.4,0.8,0.8,0.78,1,1,4,0.1521,0.1623,0.1438,68.96,260.89,2972.92,9579.1,9.42
0,Weight_Correlation,Greenfield,50,No,0.001,0.6,0.4,0.8,0.8,0.78,1,1,4,0.1676,0.1778,0.1594,68.96,260.89,2972.92,9579.1,11.8
